Date;TSS;BOD;COD;Nitrates;NH4-N;PO4-P
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
mai-2016;17.5;31;39.60442445;7.04;18.48;0.85645706
