Date;TSS;BOD;COD;NO3-N;Nitrate;NH4-N;TN;PO4-P;TP
1-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
2-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
3-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
4-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
5-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
6-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
7-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
8-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
9-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
10-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
11-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
12-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
13-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
14-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
15-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
16-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
17-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
18-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
19-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
20-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
21-janv.;76.66666667;25.015;159.7748424;4.1;18.60666667;3.3;13.3;0.943362905;1.81
