Date;TSS;BOD;COD;NO3-N;Nitrate;NH4-N;TN;PO4-P;TP
01-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
02-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
03-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
04-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
05-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
06-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
07-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
08-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
09-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
10-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
11-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
12-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
13-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
14-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
15-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
16-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
17-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
18-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
19-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
20-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
21-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
22-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
23-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
24-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
25-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
26-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
27-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
28-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
29-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
30-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
31-janv;145;83.32;272.95;0.9;4.71;37.9;34.6;3.4;4.77
01-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
02-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
03-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
04-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
05-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
06-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
07-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
08-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
09-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
10-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
11-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
12-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
13-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
14-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
15-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
16-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
17-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
18-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
19-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
20-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
21-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
22-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
23-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
24-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
25-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
26-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
27-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
28-fï¿½;190.33;175.86;4498.42;3.05;11.46;33.74;224.33;22.13;4.9
01-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
02-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
03-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
04-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
05-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
06-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
07-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
08-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
09-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
10-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
11-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
12-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
13-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
14-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
15-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
16-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
17-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
18-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
19-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
20-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
21-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
22-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
23-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
24-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
25-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
26-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
27-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
28-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
29-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
30-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
31-mars;212.5;84.5;178.5;1.1;3.3;9.87;13;3.29;5.52
01-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
02-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
03-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
04-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
05-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
06-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
07-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
08-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
09-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
10-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
11-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
12-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
13-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
14-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
15-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
16-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
17-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
18-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
19-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
20-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
21-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
22-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
23-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
24-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
25-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
26-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
27-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
28-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
29-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
30-avr;45;28;85.75;0.6;2.2;34.29;39.9;6.12;7.2
01-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
02-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
03-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
04-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
05-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
06-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
07-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
08-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
09-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
10-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
11-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
12-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
13-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
14-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
15-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
16-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
17-mai;171.11;105.83;166.81;1.1;4.89;34.83;25.75;2.91;4.19
