Date;Month;TSS;BOD;COD;Nitrate;NH4-N;PO4-P
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
mai-16;may;472.5;265;474.3157105;6.82;42.126;2.581851806
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
juin-16;june;282.5;166.25;530.3315478;11.55;32.956;2.03994238
