,,,index,rain,prun,uprun
2015,1,1,4560,9.5,0.375,0.0
2015,1,2,289488,0.0,0.0,0.0
2015,1,3,546864,2.5,0.0,0.0
2015,1,4,832560,0.0,0.0,0.0
2015,1,5,1108848,0.0,0.0,0.0
2015,1,6,1379495,0.0,0.0,0.0
2015,1,7,1669968,0.0,0.0,0.0
2015,1,8,1933820,27.0,5.25,0.0
2015,1,9,2239056,0.0,0.0,0.0
2015,1,10,2488240,0.0,0.0,0.0
2015,1,11,2741087,1.0,0.0,0.0
2015,1,12,3043420,0.5,0.0,0.0
2015,1,13,114960,0.0,0.0,0.0
2015,1,14,124176,0.0,0.0,0.0
2015,1,15,133392,0.0,0.0,0.0
2015,1,16,139543,0.0,0.0,0.0
2015,1,17,151632,0.0,0.0,0.0
2015,1,18,160848,0.0,0.0,0.0
2015,1,19,170064,0.0,0.0,0.0
2015,1,20,177365,0.0,0.0,0.0
2015,1,21,188400,0.0,0.0,0.0
2015,1,22,195510,0.0,0.0,0.0
2015,1,23,206736,0.0,0.0,0.0
2015,1,24,215952,0.0,0.0,0.0
2015,1,25,225168,0.0,0.0,0.0
2015,1,26,234384,0.0,0.0,0.0
2015,1,27,243600,0.0,0.0,0.0
2015,1,28,250135,0.0,0.0,0.0
2015,1,29,261936,0.0,0.0,0.0
2015,1,30,271152,0.0,0.0,0.0
2015,1,31,277400,0.0,0.0,0.0
2015,2,1,13585,0.0,0.0,0.0
2015,2,2,298704,0.0,0.0,0.0
2015,2,3,556080,11.5,5.625,1.5
2015,2,4,841776,0.0,0.0,0.0
2015,2,5,1118064,5.0,0.0,0.0
2015,2,6,1403184,0.0,0.0,0.0
2015,2,7,1679184,1.0,0.0,0.0
2015,2,8,1942845,0.0,0.0,0.0
2015,2,9,2248272,0.0,0.0,0.0
2015,2,10,2523600,2.0,0.0,0.0
2015,2,11,2808528,19.0,4.5,0.0
2015,2,12,3084624,1.5,0.0,0.0
2015,2,13,399984,0.0,0.0,0.0
2015,2,14,409200,0.0,0.0,0.0
2015,2,15,414010,0.0,0.0,0.0
2015,2,16,423035,0.0,0.0,0.0
2015,2,17,436656,0.0,0.0,0.0
2015,2,18,441180,0.0,0.0,0.0
2015,2,19,454992,0.0,0.0,0.0
2015,2,20,464208,0.0,0.0,0.0
2015,2,21,473424,0.0,0.0,0.0
2015,2,22,477565,0.0,0.0,0.0
2015,2,23,486590,0.0,0.0,0.0
2015,2,24,495615,0.0,0.0,0.0
2015,2,25,510000,0.0,0.0,0.0
2015,2,26,519216,0.0,0.0,0.0
2015,2,27,528432,0.0,0.0,0.0
2015,2,28,537648,0.5,0.0,0.0
2015,3,1,22896,0.0,0.0,0.0
2015,3,2,307920,0.0,0.0,0.0
2015,3,3,565296,16.5,7.875,2.625
2015,3,4,850992,0.0,0.0,0.0
2015,3,5,1127280,0.0,0.0,0.0
2015,3,6,1412400,11.0,4.5,0.75
2015,3,7,1688400,2.0,0.0,0.0
2015,3,8,1972464,0.0,0.0,0.0
2015,3,9,2233925,2.0,0.0,0.0
2015,3,10,2506385,10.0,2.25,0.0
2015,3,11,2817744,54.0,19.125,6.375
2015,3,12,3093840,2.0,0.0,0.0
2015,3,13,657456,0.0,0.0,0.0
2015,3,14,666672,0.0,0.0,0.0
2015,3,15,675888,0.0,0.0,0.0
2015,3,16,685104,0.0,0.0,0.0
2015,3,17,694320,0.0,0.0,0.0
2015,3,18,703536,0.0,0.0,0.0
2015,3,19,712752,0.0,0.0,0.0
2015,3,20,721968,0.0,0.0,0.0
2015,3,21,731184,0.0,0.0,0.0
2015,3,22,740400,0.0,0.0,0.0
2015,3,23,749616,0.0,0.0,0.0
2015,3,24,758832,0.0,0.0,0.0
2015,3,25,768048,0.0,0.0,0.0
2015,3,26,777264,0.0,0.0,0.0
2015,3,27,786480,0.0,0.0,0.0
2015,3,28,795696,0.0,0.0,0.0
2015,3,29,804912,0.0,0.0,0.0
2015,3,30,814128,0.0,0.0,0.0
2015,3,31,823344,0.0,0.0,0.0
2015,4,1,32112,0.0,0.0,0.0
2015,4,2,317136,0.0,0.0,0.0
2015,4,3,574512,0.0,0.0,0.0
2015,4,4,860208,0.0,0.0,0.0
2015,4,5,1136496,0.0,0.0,0.0
2015,4,6,1421616,21.0,9.375,5.25
2015,4,7,1697616,0.0,0.0,0.0
2015,4,8,1981680,0.0,0.0,0.0
2015,4,9,2242950,18.5,5.625,0.0
2015,4,10,2515410,23.0,4.875,0.0
2015,4,11,2826960,18.0,4.5,0.0
2015,4,12,3103056,0.0,0.0,0.0
2015,4,13,943152,20.0,6.75,0.0
2015,4,14,952368,3.5,0.0,0.0
2015,4,15,961584,1.0,0.0,0.0
2015,4,16,970800,3.5,1.125,0.0
2015,4,17,980016,51.5,25.125,8.25
2015,4,18,989232,1.0,0.0,0.0
2015,4,19,998448,0.0,0.0,0.0
2015,4,20,1007664,0.0,0.0,0.0
2015,4,21,1016880,3.5,0.75,0.0
2015,4,22,1026096,6.0,1.125,0.0
2015,4,23,1024480,0.0,0.0,0.0
2015,4,24,1044432,7.0,2.25,0.0
2015,4,25,1053648,0.0,0.0,0.0
2015,4,26,1062864,3.5,0.0,0.0
2015,4,27,1072080,0.0,0.0,0.0
2015,4,28,1081296,4.0,0.375,0.0
2015,4,29,1079105,3.0,0.0,0.0
2015,4,30,1099632,58.0,28.125,15.0
2015,5,1,41328,0.0,0.0,0.0
2015,5,2,326352,0.0,0.0,0.0
2015,5,3,583728,0.0,0.0,0.0
2015,5,4,869424,0.0,0.0,0.0
2015,5,5,1145712,0.0,0.0,0.0
2015,5,6,1430832,0.0,0.0,0.0
2015,5,7,1689005,0.0,0.0,0.0
2015,5,8,1990896,0.0,0.0,0.0
2015,5,9,2204472,0.0,0.0,0.0
2015,5,10,2551056,26.0,10.125,0.375
2015,5,11,2836176,0.5,0.0,0.0
2015,5,12,3112272,0.0,0.0,0.0
2015,5,13,1206595,0.0,0.0,0.0
2015,5,14,1228464,0.0,0.0,0.0
2015,5,15,1237680,0.0,0.0,0.0
2015,5,16,1246896,77.0,40.875,21.75
2015,5,17,1256112,10.5,3.75,0.0
2015,5,18,1252100,0.0,0.0,0.0
2015,5,19,1274448,33.0,16.875,7.875
2015,5,20,1283664,0.0,0.0,0.0
2015,5,21,1279365,0.0,0.0,0.0
2015,5,22,1302000,0.0,0.0,0.0
2015,5,23,1311216,0.0,0.0,0.0
2015,5,24,1320432,0.0,0.0,0.0
2015,5,25,1329648,0.0,0.0,0.0
2015,5,26,1338864,0.0,0.0,0.0
2015,5,27,1333990,5.5,2.625,0.0
2015,5,28,1357200,9.0,0.0,0.0
2015,5,29,1366416,15.5,5.625,1.125
2015,5,30,1375632,0.0,0.0,0.0
2015,5,31,1384848,34.0,17.625,11.25
2015,6,1,50544,0.0,0.0,0.0
2015,6,2,332025,0.0,0.0,0.0
2015,6,3,592944,0.5,0.0,0.0
2015,6,4,878640,0.0,0.0,0.0
2015,6,5,1154928,0.0,0.0,0.0
2015,6,6,1440048,0.0,0.0,0.0
2015,6,7,1715952,0.0,0.0,0.0
2015,6,8,2000112,0.5,0.0,0.0
2015,6,9,2260810,74.0,36.375,17.25
2015,6,10,2560272,16.0,4.5,0.0
2015,6,11,2845392,0.0,0.0,0.0
2015,6,12,3121488,0.0,0.0,0.0
2015,6,13,1504560,9.0,1.5,0.0
2015,6,14,1513776,2.5,0.0,0.0
2015,6,15,1507080,0.0,0.0,0.0
2015,6,16,1532112,0.0,0.0,0.0
2015,6,17,1541328,1.0,0.0,0.0
2015,6,18,1550544,0.0,0.0,0.0
2015,6,19,1543465,3.0,0.0,0.0
2015,6,20,1568880,0.5,0.0,0.0
2015,6,21,1578096,8.5,1.5,0.0
2015,6,22,1587312,0.0,0.0,0.0
