Date;TSS;BOD;COD;NO3-N;Nitrates;NH4-N;TN;PO4-P;TP
01-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
02-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
03-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
04-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
05-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
06-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
07-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
08-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
09-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
10-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
11-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
12-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
13-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
14-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
15-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
16-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
17-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
18-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
19-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
20-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
21-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
22-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
23-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
24-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
25-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
26-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
27-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
28-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
29-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
30-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
31-mai;33.33333333;15.12222222;55.95990015;2.733333333;8.017777778;17.29466667;10.33333333;2.519671173;2.97
01-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
02-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
03-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
04-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
05-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
06-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
07-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
08-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
09-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
10-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
11-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
12-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
13-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
14-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
15-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
16-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
17-juin;28;12.57625;70.86386737;1.133333333;8.014333333;24.87982222;12.76666667;1.92591136;2.676666667
