TSS;COD;BOD;nitrate;TN;ammonia;phosphate;TP
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.45;13.6475;7.4988;5.22;13.265;0.692;3.4;1.2879
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
1.9033;224.921;15.8274;17.69;11.809;4.4866;22.13;1.323
;;;;;;;
