untreated volume,TSS in rajakaluve,COD in rajakaluve,BOD in rajakaluve,TSS in STPs effluent,COD in STPs effluent,BOD in STPs effluent,TSS in lake inflow,COD in lake inflow,BOD in lake inflow
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,159.99999999999997,297.43299999999994,114.43299999999999,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.20746789028743,194.5588161795022,119.95657263320615,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.2723127433716,194.3795279421068,119.966199067796,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
4633966.08,197.5,193.75,120.0,nan,nan,nan,nan,nan,nan
